,,,,,
,,,,,
,,,,,
,Data,Meta (km),Distância (km),Pace (m/km),Tempo (m)
,20/01/2026,,"6,47",06:28,41
,22/01/2026,,7,06:40,46
,25/01/2026,6,"6,05",06:02,36
,27/01/2026,,"4,85",06:29,31
,29/01/2026,,"5,95",07:46,46
,01/02/2026,6,6,05:38,34
,03/02/2026,,"5,05",07:19,37
,05/02/2026,,"7,46",06:09,46
,08/02/2026,6,6,05:44,34
,10/02/2026,,"4,73",07:17,35
,12/02/2026,,"9,03",06:24,58
,15/02/2026,8,"8,11",06:19,51
,17/02/2026,,"7,19",06:16,45
,19/02/2026,,,,
,22/02/2026,7,,,
,24/02/2026,,"3,82",05:17,20
,26/02/2026,,"6,83",05:54,40
,01/03/2026,7,7,05:56,41
,03/03/2026,,,,
,05/03/2026,,"7,94",06:04,48
,08/03/2026,7,,,
,10/03/2026,,"7,02",05:52,41
,12/03/2026,,"9,41",06:21,60
,15/03/2026,10,,,
,17/03/2026,,"5,03",05:36,28
,19/03/2026,,"4,96",06:05,30
,22/03/2026,8,"5,35",05:08,27
,24/03/2026,,"5,58",05:36,31
,26/03/2026,,"7,94",06:19,50
,29/03/2026,8,"10,12",05:58,60
,31/03/2026,,"5,06",06:00,30
,02/04/2026,,"3,73",06:17,23
,05/04/2026,8,,,
,07/04/2026,,5,05:33,28
,09/04/2026,,"9,61",06:11,59
,12/04/2026,12,"10,04",05:49,58
,14/04/2026,,,,
,16/04/2026,,"6,05",07:17,44
,19/04/2026,9,"12,01",06:20,76
,21/04/2026,,"5,01",05:08,26
,23/04/2026,,"9,55",06:09,59
,26/04/2026,9,"6,03",05:26,33
,28/04/2026,,"5,02",05:12,26
,30/04/2026,,5,05:40,28
,03/05/2026,9,"10,32",05:47,60
,05/05/2026,,"7,5",05:34,42
,07/05/2026,,,,
,10/05/2026,14,,,
,12/05/2026,,,,
,14/05/2026,,,,
,17/05/2026,10,,,
,19/05/2026,,,,
,21/05/2026,,,,
,24/05/2026,10,,,
,26/05/2026,,,,
,28/05/2026,,,,
,31/05/2026,10,,,
,02/06/2026,,,,
,04/06/2026,,,,
,07/06/2026,15,,,
,09/06/2026,,,,
,11/06/2026,,,,
,14/06/2026,10,,,
,16/06/2026,,,,
,18/06/2026,,,,
,21/06/2026,10,,,
,23/06/2026,,,,
,25/06/2026,,,,
,28/06/2026,10,,,
,30/06/2026,,,,
,02/07/2026,,,,
,05/07/2026,16,,,
,07/07/2026,,,,
,09/07/2026,,,,
,12/07/2026,10,,,
,14/07/2026,,,,
,16/07/2026,,,,
,19/07/2026,11,,,
,21/07/2026,,,,
,23/07/2026,,,,
,26/07/2026,10,,,
,28/07/2026,,,,
,30/07/2026,,,,
,02/08/2026,17,,,
,04/08/2026,,,,
,06/08/2026,,,,
,09/08/2026,11,,,
,11/08/2026,,,,
,13/08/2026,,,,
,16/08/2026,11,,,
,18/08/2026,,,,
,20/08/2026,,,,
,23/08/2026,11,,,
,25/08/2026,,,,
,27/08/2026,,,,
,30/08/2026,18,,,
,01/09/2026,,,,
,03/09/2026,,,,
,06/09/2026,10,,,
,08/09/2026,,,,
,10/09/2026,,,,
,13/09/2026,12,,,
,15/09/2026,,,,
,17/09/2026,,,,
,20/09/2026,10,,,
,22/09/2026,,,,
,24/09/2026,,,,
,27/09/2026,19,,,
,29/09/2026,,,,
,01/10/2026,,,,
,04/10/2026,11,,,
,06/10/2026,,,,
,08/10/2026,,,,
,11/10/2026,12,,,
,13/10/2026,,,,
,15/10/2026,,,,
,18/10/2026,10,,,
,20/10/2026,,,,
,22/10/2026,,,,
,25/10/2026,20,,,
,27/10/2026,,,,
,29/10/2026,,,,
,01/11/2026,11,,,
,03/11/2026,,,,
,05/11/2026,,,,
,08/11/2026,12,,,
,10/11/2026,,,,
,12/11/2026,,,,
,15/11/2026,11,,,
,17/11/2026,,,,
,19/11/2026,,,,
,22/11/2026,20,,,
,24/11/2026,,,,
,26/11/2026,,,,
,29/11/2026,10,,,
,01/12/2026,,,,
,03/12/2026,,,,
,06/12/2026,10,,,
,08/12/2026,,,,
,10/12/2026,,,,
,13/12/2026,8,,,
,15/12/2026,,,,
,17/12/2026,,,,
,20/12/2026,8,,,
,22/12/2026,,,,
,24/12/2026,,,,
,27/12/2026,21,,,
,29/12/2026,,,,
,31/12/2026,,,,
,,,,00:01,
,,,,10:00,
